id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
1t1rz8,14.6305049,121.0110259,14.6301007,121.0101067,Maria Clara Street,secondary,295,1517
4tu8qp,14.6305049,121.0110259,14.6291757,121.0123435,Gregorio Araneta Avenue,primary,295,1527
rm63mh,14.6156686,121.0305298,14.6149379,121.0309824,Broadway Avenue,tertiary,296,8679
rm63mh,14.6156686,121.0305298,14.6163822,121.0300851,Broadway Avenue,tertiary,296,8680
ctfjp7,14.6179373,121.0291462,14.618818,121.0286095,Broadway Avenue,tertiary,297,298
rm63mh,14.6179373,121.0291462,14.6170746,121.0296627,Broadway Avenue,tertiary,297,8681
1z3rfy,14.618818,121.0286095,14.6197317,121.0280576,Broadway Avenue,tertiary,298,299
ctfjp7,14.618818,121.0286095,14.6179373,121.0291462,Broadway Avenue,tertiary,298,297
jezyyx,14.6197317,121.0280576,14.6204301,121.0276357,Broadway Avenue,tertiary,299,259
1z3rfy,14.6197317,121.0280576,14.618818,121.0286095,Broadway Avenue,tertiary,299,298
rm63mh,14.6132818,121.0320084,14.6142059,121.0314359,Broadway Avenue,tertiary,300,8684
rm63mh,14.6132818,121.0320084,14.6126741,121.0323848,Broadway Avenue,tertiary,300,91
s82vcw,14.6152845,121.0338076,14.6145834,121.0342247,Gilmore Avenue,secondary,301,302
s82vcw,14.6145834,121.0342247,14.6138851,121.0346595,Gilmore Avenue,secondary,302,75
s82vcw,14.618373,121.0319125,14.6178739,121.0322177,,,303,13326
oyztk8,14.618373,121.0319125,14.6196356,121.0341627,8th Street,residential,303,310
s82vcw,14.6169562,121.0327721,14.6162288,121.0332221,Gilmore Avenue,secondary,304,21
s82vcw,14.6201089,121.0308499,14.6192393,121.0313887,Gilmore Avenue,secondary,305,306
s82vcw,14.6192393,121.0313887,14.618373,121.0319125,Gilmore Avenue,secondary,306,303
1swfjm,14.622309,121.0325193,14.6230241,121.0320797,Doña Hemady Street,secondary,307,262
1swfjm,14.6214072,121.0330737,14.622309,121.0325193,Doña Hemady Street,secondary,308,307
oyztk8,14.6205318,121.0336164,14.6214072,121.0330737,Doña Hemady Street,secondary,309,308
oyztk8,14.6196356,121.0341627,14.6205318,121.0336164,Doña Hemady Street,secondary,310,309
oyztk8,14.6182442,121.0350036,14.6189479,121.0345854,Doña Hemady Street,secondary,311,13
oyztk8,14.6175208,121.0354441,14.6182442,121.0350036,Doña Hemady Street,secondary,312,311
35wov4,14.622441,121.0294274,14.6217416,121.0298642,Gilmore Avenue,secondary,314,255
jezyyx,14.6211647,121.0271919,14.6218801,121.0267598,Broadway Avenue,tertiary,315,92
jezyyx,14.6211647,121.0271919,14.6204301,121.0276357,Broadway Avenue,tertiary,315,259
xr1egn,14.6339702,121.0590069,14.6335595,121.0591403,Anonas Street,secondary,316,80
xr1egn,14.6339702,121.0590069,14.6345204,121.0588455,Anonas Street,secondary,316,88
g060dj,14.6260378,121.0490802,14.6263138,121.049702,New York Avenue,tertiary,336,337
wifwck,14.6260378,121.0490802,14.6257257,121.048331,New York Avenue,tertiary,336,7834
g060dj,14.6263138,121.049702,14.6260378,121.0490802,New York Avenue,tertiary,337,336
g060dj,14.6263138,121.049702,14.6265728,121.050281,New York Avenue,tertiary,337,338
g060dj,14.6265728,121.050281,14.6267976,121.0507765,New York Avenue,tertiary,338,339
g060dj,14.6265728,121.050281,14.6263138,121.049702,New York Avenue,tertiary,338,337
g060dj,14.6267976,121.0507765,14.6270639,121.0513565,New York Avenue,tertiary,339,340
g060dj,14.6267976,121.0507765,14.6265728,121.050281,New York Avenue,tertiary,339,338
g060dj,14.6270639,121.0513565,14.627323,121.0519598,New York Avenue,tertiary,340,341
g060dj,14.6270639,121.0513565,14.6267976,121.0507765,New York Avenue,tertiary,340,339
g060dj,14.627323,121.0519598,14.6270639,121.0513565,New York Avenue,tertiary,341,340
g060dj,14.627323,121.0519598,14.6275371,121.0524326,New York Avenue,tertiary,341,342
g060dj,14.6275371,121.0524326,14.6277487,121.0529241,New York Avenue,tertiary,342,343
