source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.634520,121.058846,14.635138,121.061126,88,11972,Kamias Street Extension,50.000000,50,1.000000,False,254.770000,0
14.634520,121.058846,14.634822,121.058760,88,7580,Anonas Street Extension,44.016056,50,3.466321,False,34.770000,0
14.634520,121.058846,14.633876,121.056585,88,2454,Kamias Road,50.000000,50,1.000000,False,253.550000,0
14.634520,121.058846,14.633970,121.059007,88,316,Anonas Street,28.798487,50,4.325646,False,63.600000,0
14.631209,121.060966,14.630670,121.058213,89,516,Lanzones Street,50.000000,50,1.000000,False,318.140000,1
14.631209,121.060966,14.632614,121.061641,89,721,Lanzones Street,50.000000,50,1.000000,False,191.550000,1
14.631209,121.060966,14.631660,121.060719,89,517,Anonas Street,50.000000,50,1.000000,False,56.750000,0
14.631209,121.060966,14.630805,121.061183,89,514,Anonas Street,50.000000,50,1.000000,False,50.630000,0
14.632482,121.060065,14.634357,121.061990,90,98,Chico Street,50.000000,50,1.000000,False,293.850000,0
14.632482,121.060065,14.632827,121.059696,90,501,Anonas Street,50.000000,50,1.000000,False,55.280000,0
14.632482,121.060065,14.630901,121.058450,90,4470,Chico Street,50.000000,50,1.000000,False,247.160000,0
14.632482,121.060065,14.632099,121.060436,90,2534,Anonas Street,32.631135,50,5.555275,False,58.290000,0
14.612674,121.032385,14.612602,121.032426,91,1567,Broadway Avenue,50.000000,50,1.000000,False,9.220000,0
14.612674,121.032385,14.613282,121.032008,91,300,Broadway Avenue,9.182849,50,7.692458,False,78.780000,0
14.612674,121.032385,14.612342,121.031388,91,2417,Aurora Boulevard,50.000000,50,1.000000,False,113.400000,1
14.621880,121.026760,14.621165,121.027192,92,315,Broadway Avenue,50.000000,50,1.000000,False,92.140000,0
14.621880,121.026760,14.622250,121.026536,92,11069,Broadway Avenue,50.000000,50,1.000000,False,47.610000,0
14.621880,121.026760,14.623135,121.028626,92,22,14th Street,37.346603,50,3.811029,False,254.740000,0
14.621880,121.026760,14.620656,121.024662,92,566,14th Street,50.000000,50,1.000000,False,263.550000,0
14.622443,121.026420,14.622250,121.026536,93,11069,Broadway Avenue,50.000000,50,1.000000,False,24.940000,0
14.622443,121.026420,14.622357,121.026126,93,11070,E. Rodriguez Sr. Avenue,50.000000,50,1.000000,False,33.010000,0
14.622443,121.026420,14.622948,121.028026,93,1092,E. Rodriguez Sr. Avenue,50.000000,50,1.000000,False,181.770000,0
14.611778,121.035912,14.612759,121.038365,94,1093,N. Domingo Street,50.000000,50,1.000000,False,291.430000,1
14.611778,121.035912,14.611099,121.033341,94,97,N. Domingo Street,50.000000,50,1.000000,False,288.360000,0
14.611778,121.035912,14.611282,121.036157,94,1097,Senator Jose O. Vera Street,50.000000,50,1.000000,False,61.190000,0
14.738491,121.058945,14.739159,121.060843,95,5137,Sampaguita Oval Street,50.000000,50,1.000000,False,238.390000,0
14.738491,121.058945,14.739711,121.056494,95,10840,Sampaguita Oval Street,50.000000,50,1.000000,False,313.880000,0
14.738491,121.058945,14.737934,121.058964,95,9454,Maligaya Street,50.000000,50,1.000000,False,61.980000,0
14.735290,121.059052,14.734781,121.056358,96,265,Quirino Highway,50.000000,50,1.000000,False,297.670000,1
14.735290,121.059052,14.737881,121.058966,96,12512,Maligaya Street,50.000000,50,1.000000,False,288.180000,0
14.611099,121.033341,14.609968,121.034706,97,1096,Valencia Street,50.000000,50,1.000000,False,201.810000,0
14.611099,121.033341,14.611839,121.032859,97,1094,Broadway Avenue,50.000000,50,1.000000,False,97.220000,0
14.611099,121.033341,14.611778,121.035912,97,94,N. Domingo Street,50.000000,50,1.000000,False,288.360000,0
14.634357,121.061990,14.632482,121.060065,98,90,Chico Street,50.000000,50,1.000000,False,293.850000,0
14.634357,121.061990,14.634698,121.061651,98,504,Langka Street,50.000000,50,1.000000,False,52.600000,0
14.634357,121.061990,14.635738,121.063944,98,251,Chico Street,44.192908,50,2.366568,False,266.730000,0
14.634357,121.061990,14.633977,121.062379,98,718,Langka Street,50.000000,50,1.000000,False,59.490000,0
14.620089,121.059467,14.619815,121.058636,99,1298,Pedro Tuazon Boulevard,50.000000,50,1.000000,False,94.390000,0
14.620089,121.059467,14.618043,121.060468,99,2946,15th Avenue,50.000000,50,1.000000,False,251.670000,1
14.620089,121.059467,14.620308,121.060177,99,3137,Pedro Tuazon Boulevard,50.000000,50,1.000000,False,80.180000,0
14.631944,121.065818,14.631599,121.065504,100,707,Narra Street,50.000000,50,1.000000,False,51.360000,0
